id,question,difficulty,category,date
681,What is the difference between bagging and boosting? (Sample 681),Medium,Machine Learning,2025-06-26
682,Describe a challenging machine learning project you have worked on. (Sample 682),Medium,Machine Learning,2025-06-23
683,What is the difference between bagging and boosting? (Sample 683),Hard,Machine Learning,2025-02-26
684,Describe the process of backpropagation. (Sample 684),Medium,Deep Learning,2024-11-26
685,How would you approach data cleaning for a large dataset? (Sample 685),Hard,Data Science,2025-07-14
686,How would you optimize a machine learning model? (Sample 686),Easy,Machine Learning,2024-09-29
687,Explain cross-validation and its purpose. (Sample 687),Medium,Machine Learning,2025-04-10
688,How do you handle missing values in a dataset? (Sample 688),Medium,Data Science,2025-03-31
689,What is principal component analysis (PCA)? (Sample 689),Hard,Data Science,2025-03-08
690,What is regularization and why is it important? (Sample 690),Medium,Machine Learning,2024-12-26
691,What is the bias-variance tradeoff? (Sample 691),Medium,Machine Learning,2025-06-26
692,Describe a challenging machine learning project you have worked on. (Sample 692),Hard,Machine Learning,2025-05-11
693,Describe a challenging machine learning project you have worked on. (Sample 693),Easy,Machine Learning,2025-01-15
694,How would you explain the concept of overfitting? (Sample 694),Easy,Machine Learning,2024-08-29
695,Describe a challenging machine learning project you have worked on. (Sample 695),Easy,Machine Learning,2025-05-02
696,How do you handle missing values in a dataset? (Sample 696),Medium,Data Science,2025-07-25
697,What are the key differences between classification and regression? (Sample 697),Easy,Machine Learning,2025-02-17
698,What are the key differences between classification and regression? (Sample 698),Hard,Machine Learning,2025-03-04
699,Can you explain the concept of gradient descent? (Sample 699),Easy,Machine Learning,2025-03-04
700,Explain cross-validation and its purpose. (Sample 700),Hard,Machine Learning,2025-04-15
701,Explain the difference between L1 and L2 regularization. (Sample 701),Medium,Machine Learning,2024-11-08
702,Describe the process of backpropagation. (Sample 702),Hard,Deep Learning,2025-05-11
703,What is principal component analysis (PCA)? (Sample 703),Easy,Data Science,2024-11-18
704,What is the bias-variance tradeoff? (Sample 704),Medium,Machine Learning,2025-01-30
705,How would you explain the concept of overfitting? (Sample 705),Medium,Machine Learning,2024-09-27
706,Describe a challenging machine learning project you have worked on. (Sample 706),Easy,Machine Learning,2024-09-24
707,Describe the process of backpropagation. (Sample 707),Medium,Deep Learning,2024-10-09
708,Can you explain the concept of gradient descent? (Sample 708),Easy,Machine Learning,2024-10-25
709,How do you handle missing values in a dataset? (Sample 709),Easy,Data Science,2025-03-07
710,What metrics would you use to evaluate a regression model? (Sample 710),Easy,Machine Learning,2024-12-03
711,What are the advantages of ensemble methods? (Sample 711),Easy,Machine Learning,2024-09-18
712,Explain cross-validation and its purpose. (Sample 712),Easy,Machine Learning,2025-07-20
713,How would you explain the concept of overfitting? (Sample 713),Hard,Machine Learning,2024-09-13
714,Explain the difference between L1 and L2 regularization. (Sample 714),Medium,Machine Learning,2024-08-23
715,Can you explain the concept of gradient descent? (Sample 715),Hard,Machine Learning,2025-06-15
716,What is regularization and why is it important? (Sample 716),Easy,Machine Learning,2025-02-10
717,How would you approach data cleaning for a large dataset? (Sample 717),Hard,Data Science,2024-12-15
718,Explain the difference between L1 and L2 regularization. (Sample 718),Hard,Machine Learning,2025-05-16
719,What is the difference between bagging and boosting? (Sample 719),Easy,Machine Learning,2024-12-26
720,What are the advantages of ensemble methods? (Sample 720),Medium,Machine Learning,2025-06-18
721,What metrics would you use to evaluate a regression model? (Sample 721),Hard,Machine Learning,2024-12-31
722,Describe the process of feature selection. (Sample 722),Easy,Machine Learning,2024-12-21
723,What is the role of activation functions in deep learning? (Sample 723),Easy,Deep Learning,2025-01-20
724,What are the key differences between classification and regression? (Sample 724),Hard,Machine Learning,2024-09-20
725,How does a neural network work? (Sample 725),Hard,Deep Learning,2025-02-08
726,Describe a challenging machine learning project you have worked on. (Sample 726),Medium,Machine Learning,2025-04-12
727,Explain cross-validation and its purpose. (Sample 727),Medium,Machine Learning,2025-04-27
728,Describe the process of backpropagation. (Sample 728),Medium,Deep Learning,2025-03-01
729,What is the bias-variance tradeoff? (Sample 729),Medium,Machine Learning,2024-11-21
730,Explain cross-validation and its purpose. (Sample 730),Hard,Machine Learning,2025-05-26
731,What is principal component analysis (PCA)? (Sample 731),Hard,Data Science,2025-04-21
732,How do you handle missing values in a dataset? (Sample 732),Medium,Data Science,2025-03-22
733,How would you optimize a machine learning model? (Sample 733),Easy,Machine Learning,2025-02-20
734,How would you explain the concept of overfitting? (Sample 734),Easy,Machine Learning,2025-05-17
735,What is regularization and why is it important? (Sample 735),Medium,Machine Learning,2024-08-17
736,Explain cross-validation and its purpose. (Sample 736),Medium,Machine Learning,2024-08-21
737,How would you optimize a machine learning model? (Sample 737),Hard,Machine Learning,2025-01-18
738,Explain cross-validation and its purpose. (Sample 738),Hard,Machine Learning,2025-07-11
739,What is regularization and why is it important? (Sample 739),Hard,Machine Learning,2025-06-04
740,Explain cross-validation and its purpose. (Sample 740),Easy,Machine Learning,2024-12-15
741,What is regularization and why is it important? (Sample 741),Hard,Machine Learning,2024-12-19
742,What is the role of activation functions in deep learning? (Sample 742),Hard,Deep Learning,2024-12-21
743,Describe the process of backpropagation. (Sample 743),Hard,Deep Learning,2025-06-24
744,What is the bias-variance tradeoff? (Sample 744),Medium,Machine Learning,2025-02-05
745,Explain the difference between L1 and L2 regularization. (Sample 745),Easy,Machine Learning,2025-07-24
746,How would you optimize a machine learning model? (Sample 746),Easy,Machine Learning,2025-03-02
747,What metrics would you use to evaluate a regression model? (Sample 747),Easy,Machine Learning,2025-07-14
748,What is your favorite machine learning algorithm and why? (Sample 748),Hard,Machine Learning,2025-01-19
749,Describe a challenging machine learning project you have worked on. (Sample 749),Hard,Machine Learning,2024-10-22
750,What is the difference between bagging and boosting? (Sample 750),Medium,Machine Learning,2024-12-13
751,What is the bias-variance tradeoff? (Sample 751),Hard,Machine Learning,2025-04-26
752,How do you handle missing values in a dataset? (Sample 752),Easy,Data Science,2025-01-21
753,Describe the process of backpropagation. (Sample 753),Hard,Deep Learning,2024-11-06
754,Explain the difference between L1 and L2 regularization. (Sample 754),Easy,Machine Learning,2025-05-30
755,What is the bias-variance tradeoff? (Sample 755),Hard,Machine Learning,2025-03-14
756,What is the role of activation functions in deep learning? (Sample 756),Hard,Deep Learning,2024-10-22
757,What is the bias-variance tradeoff? (Sample 757),Hard,Machine Learning,2025-02-26
758,How would you optimize a machine learning model? (Sample 758),Hard,Machine Learning,2025-05-09
759,What is principal component analysis (PCA)? (Sample 759),Medium,Data Science,2024-09-07
760,What is your favorite machine learning algorithm and why? (Sample 760),Hard,Machine Learning,2025-01-31
761,What is the bias-variance tradeoff? (Sample 761),Hard,Machine Learning,2024-11-23
762,How would you optimize a machine learning model? (Sample 762),Medium,Machine Learning,2025-07-16
763,What is your favorite machine learning algorithm and why? (Sample 763),Hard,Machine Learning,2025-04-23
764,How would you optimize a machine learning model? (Sample 764),Medium,Machine Learning,2025-05-22
765,How do you handle missing values in a dataset? (Sample 765),Easy,Data Science,2025-01-01
766,What is regularization and why is it important? (Sample 766),Medium,Machine Learning,2024-11-16
767,What are the advantages of ensemble methods? (Sample 767),Medium,Machine Learning,2025-04-11
768,Describe the process of backpropagation. (Sample 768),Hard,Deep Learning,2024-11-16
769,What is regularization and why is it important? (Sample 769),Medium,Machine Learning,2024-09-21
770,What is your favorite machine learning algorithm and why? (Sample 770),Easy,Machine Learning,2025-06-15
771,What is principal component analysis (PCA)? (Sample 771),Hard,Data Science,2025-04-07
772,Describe the process of backpropagation. (Sample 772),Easy,Deep Learning,2024-09-17
773,How does a neural network work? (Sample 773),Easy,Deep Learning,2024-11-27
774,What is principal component analysis (PCA)? (Sample 774),Medium,Data Science,2024-08-05
775,Describe the process of backpropagation. (Sample 775),Medium,Deep Learning,2024-12-07
776,What are the key differences between classification and regression? (Sample 776),Easy,Machine Learning,2025-06-09
777,Explain cross-validation and its purpose. (Sample 777),Hard,Machine Learning,2025-06-11
778,What are the advantages of ensemble methods? (Sample 778),Hard,Machine Learning,2025-03-14
779,Can you explain the concept of gradient descent? (Sample 779),Easy,Machine Learning,2025-07-15
780,What metrics would you use to evaluate a regression model? (Sample 780),Hard,Machine Learning,2024-11-07
781,What is regularization and why is it important? (Sample 781),Hard,Machine Learning,2025-01-10
782,Describe the process of feature selection. (Sample 782),Hard,Machine Learning,2024-09-21
783,What is the role of activation functions in deep learning? (Sample 783),Hard,Deep Learning,2024-08-14
784,Can you explain the concept of gradient descent? (Sample 784),Medium,Machine Learning,2024-12-09
785,How do you handle missing values in a dataset? (Sample 785),Medium,Data Science,2024-11-11
786,How do you handle missing values in a dataset? (Sample 786),Easy,Data Science,2025-01-23
787,Describe the process of feature selection. (Sample 787),Easy,Machine Learning,2024-09-21
788,What is your favorite machine learning algorithm and why? (Sample 788),Easy,Machine Learning,2025-07-11
789,What is regularization and why is it important? (Sample 789),Easy,Machine Learning,2025-03-16
790,Explain cross-validation and its purpose. (Sample 790),Easy,Machine Learning,2024-08-02
791,How would you optimize a machine learning model? (Sample 791),Hard,Machine Learning,2024-11-29
792,What is regularization and why is it important? (Sample 792),Medium,Machine Learning,2025-01-08
793,Describe a challenging machine learning project you have worked on. (Sample 793),Medium,Machine Learning,2024-10-24
794,Describe a challenging machine learning project you have worked on. (Sample 794),Medium,Machine Learning,2024-08-09
795,How do you handle missing values in a dataset? (Sample 795),Medium,Data Science,2025-05-22
796,What metrics would you use to evaluate a regression model? (Sample 796),Hard,Machine Learning,2025-03-17
797,Explain the difference between L1 and L2 regularization. (Sample 797),Medium,Machine Learning,2024-11-02
798,What are the key differences between classification and regression? (Sample 798),Easy,Machine Learning,2025-07-03
799,What is the difference between bagging and boosting? (Sample 799),Easy,Machine Learning,2025-05-31
800,What is principal component analysis (PCA)? (Sample 800),Medium,Data Science,2025-05-03
801,What is regularization and why is it important? (Sample 801),Hard,Machine Learning,2025-02-06
802,How would you optimize a machine learning model? (Sample 802),Hard,Machine Learning,2024-10-27
803,How would you optimize a machine learning model? (Sample 803),Medium,Machine Learning,2025-02-09
804,How would you optimize a machine learning model? (Sample 804),Easy,Machine Learning,2025-05-04
805,Explain cross-validation and its purpose. (Sample 805),Easy,Machine Learning,2025-06-12
806,How would you optimize a machine learning model? (Sample 806),Easy,Machine Learning,2024-08-25
807,How would you explain the concept of overfitting? (Sample 807),Easy,Machine Learning,2025-07-22
808,Describe the process of feature selection. (Sample 808),Easy,Machine Learning,2025-07-07
809,What is principal component analysis (PCA)? (Sample 809),Medium,Data Science,2025-06-23
810,Describe a challenging machine learning project you have worked on. (Sample 810),Medium,Machine Learning,2025-06-20
811,Can you explain the concept of gradient descent? (Sample 811),Hard,Machine Learning,2024-10-04
812,What is the bias-variance tradeoff? (Sample 812),Easy,Machine Learning,2024-11-27
813,What is the role of activation functions in deep learning? (Sample 813),Hard,Deep Learning,2025-06-03
814,How would you optimize a machine learning model? (Sample 814),Easy,Machine Learning,2024-09-01
815,What are the advantages of ensemble methods? (Sample 815),Medium,Machine Learning,2024-08-21
816,Can you explain the concept of gradient descent? (Sample 816),Hard,Machine Learning,2024-12-04
817,How would you approach data cleaning for a large dataset? (Sample 817),Hard,Data Science,2024-09-10
818,Describe the process of backpropagation. (Sample 818),Hard,Deep Learning,2024-08-10
819,What is the bias-variance tradeoff? (Sample 819),Hard,Machine Learning,2024-07-31
820,How would you optimize a machine learning model? (Sample 820),Medium,Machine Learning,2024-11-28
821,Describe the process of backpropagation. (Sample 821),Hard,Deep Learning,2025-02-22
822,Describe a challenging machine learning project you have worked on. (Sample 822),Medium,Machine Learning,2025-03-23
823,What is the difference between bagging and boosting? (Sample 823),Medium,Machine Learning,2025-04-12
824,How does a neural network work? (Sample 824),Hard,Deep Learning,2025-03-04
825,Explain cross-validation and its purpose. (Sample 825),Hard,Machine Learning,2024-11-20
826,How do you handle missing values in a dataset? (Sample 826),Easy,Data Science,2024-10-21
827,What metrics would you use to evaluate a regression model? (Sample 827),Medium,Machine Learning,2025-03-31
828,How does a neural network work? (Sample 828),Medium,Deep Learning,2024-09-18
829,What is principal component analysis (PCA)? (Sample 829),Hard,Data Science,2024-12-27
830,What is the role of activation functions in deep learning? (Sample 830),Hard,Deep Learning,2024-12-20
831,How do you handle missing values in a dataset? (Sample 831),Easy,Data Science,2024-09-19
832,Describe a challenging machine learning project you have worked on. (Sample 832),Hard,Machine Learning,2024-08-05
833,Explain cross-validation and its purpose. (Sample 833),Hard,Machine Learning,2025-05-07
834,What is regularization and why is it important? (Sample 834),Easy,Machine Learning,2024-12-16
835,Describe the process of backpropagation. (Sample 835),Easy,Deep Learning,2025-06-16
836,What metrics would you use to evaluate a regression model? (Sample 836),Medium,Machine Learning,2025-05-29
837,How would you explain the concept of overfitting? (Sample 837),Easy,Machine Learning,2024-09-16
838,What is the role of activation functions in deep learning? (Sample 838),Easy,Deep Learning,2025-04-24
839,Explain cross-validation and its purpose. (Sample 839),Hard,Machine Learning,2025-07-26
840,What is the role of activation functions in deep learning? (Sample 840),Medium,Deep Learning,2024-08-19
841,What metrics would you use to evaluate a regression model? (Sample 841),Easy,Machine Learning,2024-12-01
842,What metrics would you use to evaluate a regression model? (Sample 842),Hard,Machine Learning,2024-12-05
843,What is the role of activation functions in deep learning? (Sample 843),Easy,Deep Learning,2024-12-22
844,What is principal component analysis (PCA)? (Sample 844),Hard,Data Science,2024-11-04
845,How does a neural network work? (Sample 845),Medium,Deep Learning,2024-09-09
846,Describe the process of feature selection. (Sample 846),Medium,Machine Learning,2024-10-02
847,How do you handle missing values in a dataset? (Sample 847),Hard,Data Science,2025-01-04
848,What is the bias-variance tradeoff? (Sample 848),Hard,Machine Learning,2024-11-17
849,What metrics would you use to evaluate a regression model? (Sample 849),Easy,Machine Learning,2025-04-18
850,Explain the difference between L1 and L2 regularization. (Sample 850),Medium,Machine Learning,2025-03-07
851,What are the advantages of ensemble methods? (Sample 851),Easy,Machine Learning,2024-08-25
852,What metrics would you use to evaluate a regression model? (Sample 852),Easy,Machine Learning,2024-08-08
853,How would you explain the concept of overfitting? (Sample 853),Hard,Machine Learning,2025-03-28
854,Describe a challenging machine learning project you have worked on. (Sample 854),Medium,Machine Learning,2024-09-29
855,What is the difference between bagging and boosting? (Sample 855),Hard,Machine Learning,2024-10-12
856,What is your favorite machine learning algorithm and why? (Sample 856),Easy,Machine Learning,2024-10-23
857,Explain the difference between L1 and L2 regularization. (Sample 857),Medium,Machine Learning,2025-04-27
858,Explain the difference between L1 and L2 regularization. (Sample 858),Easy,Machine Learning,2024-08-11
859,What is regularization and why is it important? (Sample 859),Hard,Machine Learning,2024-09-11
860,Describe the process of backpropagation. (Sample 860),Medium,Deep Learning,2025-04-13
861,What is principal component analysis (PCA)? (Sample 861),Easy,Data Science,2025-06-11
862,What metrics would you use to evaluate a regression model? (Sample 862),Hard,Machine Learning,2024-12-12
863,How does a neural network work? (Sample 863),Medium,Deep Learning,2024-09-28
864,What is regularization and why is it important? (Sample 864),Medium,Machine Learning,2024-08-11
865,How would you optimize a machine learning model? (Sample 865),Easy,Machine Learning,2025-03-20
866,What is the bias-variance tradeoff? (Sample 866),Hard,Machine Learning,2025-07-28
867,Explain cross-validation and its purpose. (Sample 867),Hard,Machine Learning,2025-01-07
868,What is the role of activation functions in deep learning? (Sample 868),Easy,Deep Learning,2025-06-08
869,Can you explain the concept of gradient descent? (Sample 869),Easy,Machine Learning,2025-04-30
870,What are the key differences between classification and regression? (Sample 870),Hard,Machine Learning,2025-04-20
871,What is your favorite machine learning algorithm and why? (Sample 871),Hard,Machine Learning,2024-09-04
872,How would you optimize a machine learning model? (Sample 872),Easy,Machine Learning,2024-10-10
873,Explain cross-validation and its purpose. (Sample 873),Medium,Machine Learning,2025-04-14
874,How does a neural network work? (Sample 874),Medium,Deep Learning,2025-04-20
875,How would you optimize a machine learning model? (Sample 875),Hard,Machine Learning,2024-10-26
876,How would you explain the concept of overfitting? (Sample 876),Medium,Machine Learning,2025-07-12
877,What metrics would you use to evaluate a regression model? (Sample 877),Hard,Machine Learning,2025-01-18
878,What is principal component analysis (PCA)? (Sample 878),Medium,Data Science,2024-10-08
879,Explain the difference between L1 and L2 regularization. (Sample 879),Medium,Machine Learning,2025-07-25
880,How would you approach data cleaning for a large dataset? (Sample 880),Hard,Data Science,2025-01-04
881,What is the role of activation functions in deep learning? (Sample 881),Hard,Deep Learning,2025-01-29
882,What are the advantages of ensemble methods? (Sample 882),Medium,Machine Learning,2025-01-08
883,Explain cross-validation and its purpose. (Sample 883),Medium,Machine Learning,2025-02-26
884,What are the advantages of ensemble methods? (Sample 884),Hard,Machine Learning,2025-07-12
885,How would you optimize a machine learning model? (Sample 885),Hard,Machine Learning,2024-08-31
886,Describe the process of backpropagation. (Sample 886),Hard,Deep Learning,2024-12-16
887,What is the role of activation functions in deep learning? (Sample 887),Medium,Deep Learning,2025-01-05
888,Can you explain the concept of gradient descent? (Sample 888),Medium,Machine Learning,2025-04-08
889,What are the advantages of ensemble methods? (Sample 889),Hard,Machine Learning,2025-01-10
890,What is the role of activation functions in deep learning? (Sample 890),Easy,Deep Learning,2024-08-13
891,How would you optimize a machine learning model? (Sample 891),Easy,Machine Learning,2025-07-28
892,Describe a challenging machine learning project you have worked on. (Sample 892),Easy,Machine Learning,2024-12-23
893,How does a neural network work? (Sample 893),Hard,Deep Learning,2025-02-19
894,Explain the difference between L1 and L2 regularization. (Sample 894),Easy,Machine Learning,2024-07-31
895,What are the key differences between classification and regression? (Sample 895),Hard,Machine Learning,2025-04-26
896,Explain cross-validation and its purpose. (Sample 896),Medium,Machine Learning,2025-03-02
897,What is the difference between bagging and boosting? (Sample 897),Easy,Machine Learning,2025-04-27
898,Explain cross-validation and its purpose. (Sample 898),Hard,Machine Learning,2024-08-19
899,How do you handle missing values in a dataset? (Sample 899),Hard,Data Science,2025-05-12
900,What is principal component analysis (PCA)? (Sample 900),Medium,Data Science,2024-10-12
901,What is principal component analysis (PCA)? (Sample 901),Easy,Data Science,2024-10-04
902,Explain the difference between L1 and L2 regularization. (Sample 902),Medium,Machine Learning,2024-11-10
903,How would you explain the concept of overfitting? (Sample 903),Hard,Machine Learning,2025-07-24
904,What is your favorite machine learning algorithm and why? (Sample 904),Easy,Machine Learning,2025-06-01
905,What is regularization and why is it important? (Sample 905),Medium,Machine Learning,2025-02-05
906,What are the key differences between classification and regression? (Sample 906),Easy,Machine Learning,2024-08-11
907,Can you explain the concept of gradient descent? (Sample 907),Hard,Machine Learning,2025-05-15
908,Can you explain the concept of gradient descent? (Sample 908),Hard,Machine Learning,2024-11-08
909,What is regularization and why is it important? (Sample 909),Medium,Machine Learning,2025-01-25
910,What is your favorite machine learning algorithm and why? (Sample 910),Medium,Machine Learning,2025-05-17
911,How would you explain the concept of overfitting? (Sample 911),Easy,Machine Learning,2025-01-26
912,How would you optimize a machine learning model? (Sample 912),Medium,Machine Learning,2025-05-14
913,What metrics would you use to evaluate a regression model? (Sample 913),Hard,Machine Learning,2025-05-03
914,What is the difference between bagging and boosting? (Sample 914),Easy,Machine Learning,2025-02-18
915,What is the role of activation functions in deep learning? (Sample 915),Hard,Deep Learning,2024-10-26
916,Explain the difference between L1 and L2 regularization. (Sample 916),Hard,Machine Learning,2025-04-07
917,Describe a challenging machine learning project you have worked on. (Sample 917),Hard,Machine Learning,2024-10-21
918,How would you optimize a machine learning model? (Sample 918),Medium,Machine Learning,2025-02-17
919,How would you approach data cleaning for a large dataset? (Sample 919),Medium,Data Science,2025-03-08
920,Describe the process of backpropagation. (Sample 920),Easy,Deep Learning,2025-06-12
921,What is regularization and why is it important? (Sample 921),Hard,Machine Learning,2025-07-27
922,What metrics would you use to evaluate a regression model? (Sample 922),Medium,Machine Learning,2025-06-07
923,Describe the process of backpropagation. (Sample 923),Medium,Deep Learning,2024-10-07
924,Explain the difference between L1 and L2 regularization. (Sample 924),Medium,Machine Learning,2024-11-09
925,Describe the process of backpropagation. (Sample 925),Hard,Deep Learning,2025-04-23
926,Can you explain the concept of gradient descent? (Sample 926),Medium,Machine Learning,2025-05-26
927,What is regularization and why is it important? (Sample 927),Easy,Machine Learning,2024-10-15
928,What is principal component analysis (PCA)? (Sample 928),Easy,Data Science,2024-09-19
929,How would you explain the concept of overfitting? (Sample 929),Easy,Machine Learning,2024-08-04
930,Describe a challenging machine learning project you have worked on. (Sample 930),Easy,Machine Learning,2025-03-08
931,What is regularization and why is it important? (Sample 931),Medium,Machine Learning,2025-04-16
932,What is your favorite machine learning algorithm and why? (Sample 932),Easy,Machine Learning,2025-04-29
933,What are the key differences between classification and regression? (Sample 933),Hard,Machine Learning,2025-06-05
934,Can you explain the concept of gradient descent? (Sample 934),Medium,Machine Learning,2025-02-09
935,What is principal component analysis (PCA)? (Sample 935),Easy,Data Science,2025-07-29
936,What is the bias-variance tradeoff? (Sample 936),Easy,Machine Learning,2024-10-06
937,What is principal component analysis (PCA)? (Sample 937),Medium,Data Science,2025-02-20
938,What is the difference between bagging and boosting? (Sample 938),Medium,Machine Learning,2025-01-23
939,Describe the process of feature selection. (Sample 939),Medium,Machine Learning,2025-04-10
940,Explain the difference between L1 and L2 regularization. (Sample 940),Easy,Machine Learning,2025-01-18
941,Can you explain the concept of gradient descent? (Sample 941),Easy,Machine Learning,2025-04-08
942,What are the key differences between classification and regression? (Sample 942),Medium,Machine Learning,2025-07-13
943,Explain the difference between L1 and L2 regularization. (Sample 943),Medium,Machine Learning,2025-03-28
944,Describe the process of backpropagation. (Sample 944),Medium,Deep Learning,2025-06-07
945,What are the key differences between classification and regression? (Sample 945),Hard,Machine Learning,2024-09-09
946,How do you handle missing values in a dataset? (Sample 946),Hard,Data Science,2025-01-04
947,What are the advantages of ensemble methods? (Sample 947),Medium,Machine Learning,2024-12-18
948,How does a neural network work? (Sample 948),Hard,Deep Learning,2024-10-25
949,Describe the process of backpropagation. (Sample 949),Medium,Deep Learning,2025-07-04
950,How does a neural network work? (Sample 950),Hard,Deep Learning,2024-10-06
951,What is principal component analysis (PCA)? (Sample 951),Hard,Data Science,2024-10-25
952,Can you explain the concept of gradient descent? (Sample 952),Medium,Machine Learning,2024-08-19
953,Describe a challenging machine learning project you have worked on. (Sample 953),Hard,Machine Learning,2024-09-05
954,What is regularization and why is it important? (Sample 954),Medium,Machine Learning,2025-01-20
955,How do you handle missing values in a dataset? (Sample 955),Easy,Data Science,2025-04-10
956,What is the difference between bagging and boosting? (Sample 956),Medium,Machine Learning,2025-06-12
957,How would you optimize a machine learning model? (Sample 957),Hard,Machine Learning,2024-09-18
958,What is regularization and why is it important? (Sample 958),Easy,Machine Learning,2024-12-05
959,How would you explain the concept of overfitting? (Sample 959),Medium,Machine Learning,2024-09-02
960,What are the advantages of ensemble methods? (Sample 960),Medium,Machine Learning,2024-11-23
961,Describe a challenging machine learning project you have worked on. (Sample 961),Easy,Machine Learning,2025-04-07
962,How do you handle missing values in a dataset? (Sample 962),Easy,Data Science,2025-02-14
963,What is the role of activation functions in deep learning? (Sample 963),Easy,Deep Learning,2024-11-22
964,What is regularization and why is it important? (Sample 964),Medium,Machine Learning,2025-02-28
965,Explain the difference between L1 and L2 regularization. (Sample 965),Medium,Machine Learning,2025-07-28
966,What are the key differences between classification and regression? (Sample 966),Medium,Machine Learning,2024-11-06
967,How does a neural network work? (Sample 967),Easy,Deep Learning,2024-09-25
968,What is principal component analysis (PCA)? (Sample 968),Medium,Data Science,2025-04-06
969,What is the bias-variance tradeoff? (Sample 969),Hard,Machine Learning,2025-06-10
970,Explain cross-validation and its purpose. (Sample 970),Hard,Machine Learning,2024-12-17
971,How do you handle missing values in a dataset? (Sample 971),Medium,Data Science,2025-03-18
972,What is the bias-variance tradeoff? (Sample 972),Easy,Machine Learning,2024-09-29
973,What is the bias-variance tradeoff? (Sample 973),Medium,Machine Learning,2025-03-20
974,What is the difference between bagging and boosting? (Sample 974),Easy,Machine Learning,2025-02-18
975,How does a neural network work? (Sample 975),Medium,Deep Learning,2025-07-27
976,Describe the process of backpropagation. (Sample 976),Hard,Deep Learning,2025-01-08
977,Describe the process of backpropagation. (Sample 977),Medium,Deep Learning,2025-04-08
978,What is the bias-variance tradeoff? (Sample 978),Hard,Machine Learning,2024-12-16
979,How would you approach data cleaning for a large dataset? (Sample 979),Easy,Data Science,2024-12-28
980,How does a neural network work? (Sample 980),Hard,Deep Learning,2024-12-01
981,What are the key differences between classification and regression? (Sample 981),Medium,Machine Learning,2025-06-05
982,How would you explain the concept of overfitting? (Sample 982),Easy,Machine Learning,2025-01-02
983,What is your favorite machine learning algorithm and why? (Sample 983),Medium,Machine Learning,2025-02-05
984,How would you approach data cleaning for a large dataset? (Sample 984),Hard,Data Science,2024-09-17
985,What are the key differences between classification and regression? (Sample 985),Medium,Machine Learning,2025-02-04
986,Explain the difference between L1 and L2 regularization. (Sample 986),Hard,Machine Learning,2025-06-06
987,How would you optimize a machine learning model? (Sample 987),Medium,Machine Learning,2025-06-17
988,What is the role of activation functions in deep learning? (Sample 988),Easy,Deep Learning,2025-03-24
989,What is the difference between bagging and boosting? (Sample 989),Medium,Machine Learning,2025-02-15
990,What are the advantages of ensemble methods? (Sample 990),Easy,Machine Learning,2024-11-03
991,Describe the process of backpropagation. (Sample 991),Medium,Deep Learning,2024-09-05
992,What is regularization and why is it important? (Sample 992),Hard,Machine Learning,2025-01-16
993,What is principal component analysis (PCA)? (Sample 993),Medium,Data Science,2024-09-21
994,How would you approach data cleaning for a large dataset? (Sample 994),Medium,Data Science,2024-08-10
995,Can you explain the concept of gradient descent? (Sample 995),Medium,Machine Learning,2025-02-11
996,What are the key differences between classification and regression? (Sample 996),Medium,Machine Learning,2024-11-07
997,What is the difference between bagging and boosting? (Sample 997),Medium,Machine Learning,2025-03-12
998,What is your favorite machine learning algorithm and why? (Sample 998),Hard,Machine Learning,2024-11-10
999,How would you approach data cleaning for a large dataset? (Sample 999),Hard,Data Science,2025-04-30
1000,What are the key differences between classification and regression? (Sample 1000),Easy,Machine Learning,2025-06-22
